OBJECTID1,CountyName,StateAbbr,asd_code,asd_desc,county_code,BeefCows,Hogs,MilkCows,OtherCattle,CornAcresPlanted,CornGrainAcresHarvested,CornGrainYield_bupacre,CornSilageAcresHarvested,CornSilageYield_tonspacre,SoybeansAcresHarvested,SoybeansAcresPlanted,SoybeansYield_bupacre,Year,MEAN_Nrate_lbperac,CommercialN_kg_ha,ManureN_kg_ha,GrainN_kg_ha,FixatedN_kg_ha,NitrogenSurplus_kg_ha
72,Shelby,IA,40,WEST CENTRAL,165,10782.8,125368.8,236,9396.4,158000,154400,143.4,3400,17.4,139800,140000,43.3,1/1/1999 0:00,64.45774352,72.25713,18.04377,144.2965,63.70877,9.71317
73,Shelby,IA,40,WEST CENTRAL,165,10539.2,129035.2,192,14094.6,159000,154600,126.6,3400,19.1,138600,139000,38.5,1/1/2000 0:00,67.63211777,75.81561,19.5845,127.7716,51.14858,18.77709
74,Shelby,IA,40,WEST CENTRAL,165,10295.6,132701.6,148,18792.8,155000,151100,139.8,2900,18.4,143600,145000,48,1/1/2001 0:00,54.19033528,60.74736,20.98439,153.7556,77.82633,5.80248
75,Shelby,IA,40,WEST CENTRAL,165,10052,136368,104,23491,155000,153000,147.1,1900,18.9,139400,140000,47.8,1/1/2002 0:00,59.31267008,66.4895,22.89645,155.089,75.9031,10.20005
76,Shelby,IA,40,WEST CENTRAL,165,8041.6,134703.6,83.2,22411.8,154000,151000,134.4,2500,19.6,143400,144000,32.5,1/1/2003 0:00,66.54955632,74.60205,21.28765,119.1901,37.31275,14.01235
77,Shelby,IA,40,WEST CENTRAL,165,6031.2,133039.2,62.4,21332.6,156000,154000,177.1,1500,18.7,140500,141000,49.4,1/1/2004 0:00,68.22883096,76.48452,19.97639,170.0255,80.03736,6.47277
78,Shelby,IA,40,WEST CENTRAL,165,4020.8,131374.8,41.6,20253.4,157000,154500,171.7,1600,19.6,139800,140500,54,1/1/2005 0:00,74.31743144,83.30984,18.5622,177.1634,91.36514,16.07378
79,Shelby,IA,40,WEST CENTRAL,165,2010.4,129710.4,20.8,19174.2,157500,156200,171.2,1100,16.6,140500,141000,52,1/1/2006 0:00,66.65758477,74.72315,17.12402,172.7361,86.27531,5.38638
80,Shelby,IA,40,WEST CENTRAL,165,0,128046,0,18095,172500,170500,167.3,1500,20.9,128900,129000,53.1,1/1/2007 0:00,91.19935192,102.2345,15.59134,168.9564,80.69196,29.5614
81,Shelby,IA,40,WEST CENTRAL,165,0,123361.8,0,19851.2,171000,167500,190,,,133800,134500,48.5,1/1/2008 0:00,83.88168977,94.03137,15.51658,170.9282,72.08114,10.70089
82,Shelby,IA,40,WEST CENTRAL,165,0,118677.6,0,21607.4,176000,173500,202.9,,,135700,136000,55,1/1/2009 0:00,77.11092071,86.44135,15.32,188.2135,86.68547,0.23332
83,Shelby,IA,40,WEST CENTRAL,165,0,113993.4,0,23363.6,176000,175000,171.6,,,138600,139000,55.4,1/1/2010 0:00,69.50642929,77.91671,15.29958,176.3054,88.70818,5.61907
84,Shelby,IA,40,WEST CENTRAL,165,0,109309.2,0,25119.8,184000,181200,173.6,,,135300,136000,51.2,1/1/2011 0:00,89.05425623,99.82982,15.18404,167.8138,75.78657,22.98663
85,Shelby,IA,40,WEST CENTRAL,165,0,104625,0,26876,190500,187500,137.8,,,128500,129000,43.5,1/1/2012 0:00,96.68302102,108.3817,15.33152,136.6914,55.18939,42.21121
86,Shelby,IA,40,WEST CENTRAL,165,0,107638,0,26423,186500,182200,182.6,,,132400,133000,51.3,1/1/2013 0:00,85.0006021,95.28568,15.43716,171.2461,74.45586,13.9326
87,Shelby,IA,40,WEST CENTRAL,165,0,110651,0,25970,182000,179300,185.2,,,136900,137500,55.3,1/1/2014 0:00,73.1786824,82.0333,15.54281,180.8273,86.28229,3.0311
88,Shelby,IA,40,WEST CENTRAL,165,0,113664,0,25517,175000,164000,195.3,,,143400,144000,57.2,1/1/2015 0:00,70.92198927,79.50355,15.67298,192.0154,95.13992,-1.69895
89,Shelby,IA,40,WEST CENTRAL,165,0,116677,0,25064,180000,176800,215.3,,,133000,133500,60.5,1/1/2016 0:00,75.70088742,84.86069,16.05561,202.7904,97.34783,-4.52627
90,Shelby,IA,40,WEST CENTRAL,165,0,119690,0,24611,172000,170200,207.1,,,142700,143500,58.2,1/1/2017 0:00,77.11380962,86.44458,16.06082,197.6721,98.32047,3.15377
91,Shelby,IA,40,WEST CENTRAL,165,0,122703,0,24158,172500,168100,189.1,,,135900,137000,57.8,1/1/2018 0:00,69.35160369,77.74315,16.48124,188.6552,94.72934,0.29853
92,Shelby,IA,40,WEST CENTRAL,165,0,125716,0,23705,174000,171800,217.3,,,134100,135000,58.7,1/1/2019 0:00,70.18182664,78.67383,16.61714,201.1415,95.6234,-10.22713
93,Appanoose,IA,80,SOUTH CENTRAL,7,24493,5207,400,0,28800,27900,125.8,800,14.5,32700,33000,42.1,1/1/1997 0:00,31.00108324,34.75221,56.8618,140.672,68.94793,19.88994
94,Appanoose,IA,80,SOUTH CENTRAL,7,24022.2,4571,390,3240.8,26200,24800,119.6,1200,16.6,35800,36000,40.5,1/1/1998 0:00,30.29088654,33.95609,59.75043,139.2278,69.7254,24.20412
95,Appanoose,IA,80,SOUTH CENTRAL,7,23551.4,3935,380,6481.6,30000,28100,113.6,1800,10.9,36800,37000,35.2,1/1/1999 0:00,32.93149804,36.91621,58.49096,122.3343,50.70362,23.77649
96,Appanoose,IA,80,SOUTH CENTRAL,7,23080.6,3299,370,9722.4,30000,28500,147.7,1400,13.4,39300,39500,41.5,1/1/2000 0:00,30.85530397,34.58879,59.29944,149.518,71.54141,15.91164
97,Appanoose,IA,80,SOUTH CENTRAL,7,22609.8,2663,360,12963.2,17000,15900,110.1,,,32700,33000,41.2,1/1/2001 0:00,31.28273802,35.06795,86.47456,145.9903,82.00808,57.56029
98,Appanoose,IA,80,SOUTH CENTRAL,7,22139,2027,350,16204,27000,25500,129.4,700,14.3,38900,39000,40.2,1/1/2002 0:00,26.26235993,29.44011,68.57796,142.4602,70.22836,25.78623
99,Appanoose,IA,80,SOUTH CENTRAL,7,21050.6,1985,348.2,15280.8,32000,30000,125.7,,,35800,36000,31.2,1/1/2003 0:00,27.89025128,31.26497,63.18822,115.5069,37.15835,16.10464
100,Appanoose,IA,80,SOUTH CENTRAL,7,19962.2,1943,346.4,14357.6,32000,31000,171.9,,,35300,35500,52.4,1/1/2004 0:00,32.55878692,36.4984,60.25855,179.608,97.19602,14.34497
101,Appanoose,IA,80,SOUTH CENTRAL,7,18873.8,1901,344.6,13434.4,31000,30000,150,900,17.2,37700,38000,44.2,1/1/2005 0:00,32.39387722,36.31354,55.62472,155.1674,77.36286,14.13372
102,Appanoose,IA,80,SOUTH CENTRAL,7,17785.4,1859,342.8,12511.2,27000,26400,157.7,500,16.6,39700,40000,42.3,1/1/2006 0:00,31.81737953,35.66728,53.86208,155.995,77.73254,11.2669
103,Appanoose,IA,80,SOUTH CENTRAL,7,16697,1817,341,11588,37500,36200,152,,,32300,32500,45.6,1/1/2007 0:00,24.66344885,27.64773,48.27732,152.0375,68.73471,-7.37774
104,Appanoose,IA,80,SOUTH CENTRAL,7,15828.6,1453.6,331.8,11300.4,25500,24500,118,,,43900,44500,31,1/1/2008 0:00,33.34609501,37.38097,46.08901,116.9377,43.93209,10.46437
105,Appanoose,IA,80,SOUTH CENTRAL,7,14960.2,1090.2,322.6,11012.8,34500,33600,153,500,14,40600,41000,43,1/1/2009 0:00,28.32993349,31.75786,40.70264,152.5798,72.76097,-7.35833
106,Appanoose,IA,80,SOUTH CENTRAL,7,14091.8,726.8,313.4,10725.2,33000,31500,75.2,,,37700,38600,42.6,1/1/2010 0:00,17.11250505,19.18312,40.78027,125.2427,71.06713,5.78782
107,Appanoose,IA,80,SOUTH CENTRAL,7,13223.4,363.4,304.2,10437.6,35700,33100,120.1,,,44900,45500,43.1,1/1/2011 0:00,75.669187,84.82516,34.07248,144.5305,75.3817,49.74884
108,Appanoose,IA,80,SOUTH CENTRAL,7,12355,0,295,10150,36500,29800,44.5,,,49600,50100,24.6,1/1/2012 0:00,88.73176849,99.46832,30.17903,78.51109,19.96132,71.09758
109,Appanoose,IA,80,SOUTH CENTRAL,7,12993.2,155.6,269.8,10860.8,33800,31100,109.1,,,45200,45400,29.5,1/1/2013 0:00,85.6113298,95.9703,34.8632,108.1517,34.96526,57.64706
110,Appanoose,IA,80,SOUTH CENTRAL,7,13631.4,311.2,244.6,11571.6,34100,32600,170.9,,,45200,45400,46.7,1/1/2014 0:00,100.2691968,112.4018,36.58901,169.8129,87.9397,67.11761
111,Appanoose,IA,80,SOUTH CENTRAL,7,14269.6,466.8,219.4,12282.4,35000,33400,154.3,1210,14,35100,35400,48.2,1/1/2015 0:00,30.16973456,33.82027,43.41601,162.0231,81.51118,-3.27564
112,Appanoose,IA,80,SOUTH CENTRAL,7,14907.8,622.4,194.2,12993.2,31100,30600,186.3,,,45400,45600,55.9,1/1/2016 0:00,31.16123836,34.93175,41.77508,199.2793,121.124,-1.44847
113,Appanoose,IA,80,SOUTH CENTRAL,7,15546,778,169,13704,29800,28000,170,840,16,46000,46200,50.7,1/1/2017 0:00,31.42466163,35.22705,44.10276,183.2877,106.7573,2.79941
114,Appanoose,IA,80,SOUTH CENTRAL,7,16184.2,933.6,143.8,14414.8,,,,,,,,,1/1/2018 0:00,29.74813717,33.34766,,,,
115,Appanoose,IA,80,SOUTH CENTRAL,7,16822.4,1089.2,118.6,15125.6,30300,29300,166.8,,,,,,1/1/2019 0:00,29.93249711,33.55433,,,,
116,Wayne,IA,80,SOUTH CENTRAL,185,21296,20773,479,0,44700,43400,109.4,1100,12.5,50600,51000,40.3,1/1/1997 0:00,39.09467951,43.82513,36.31285,130.7787,63.62405,12.98333
117,Wayne,IA,80,SOUTH CENTRAL,185,21181.8,18572.4,568.8,4055.2,42500,41100,103.8,1200,12.5,50300,50500,39.9,1/1/1998 0:00,38.33583484,42.97447,40.61602,129.0782,63.65498,18.16727
118,Wayne,IA,80,SOUTH CENTRAL,185,21067.6,16371.8,658.6,8110.4,41000,38900,104.1,2000,10.3,54700,55000,34.5,1/1/1999 0:00,41.40158609,46.41118,42.49416,118.82,50.43385,20.51919
119,Wayne,IA,80,SOUTH CENTRAL,185,20953.4,14171.2,748.4,12165.6,45000,43300,136.8,1600,14.1,53800,54000,39.2,1/1/2000 0:00,38.83741643,43.53674,44.25848,138.6625,61.87709,11.00981
120,Wayne,IA,80,SOUTH CENTRAL,185,20839.2,11970.6,838.2,16220.8,33000,31300,114.1,1400,17.8,40200,41000,40,1/1/2001 0:00,38.97883471,43.69527,63.29378,133.7893,65.2491,38.44885
121,Wayne,IA,80,SOUTH CENTRAL,185,20725,9770,928,20276,45000,44000,140.9,900,13.9,52600,53000,39.2,1/1/2002 0:00,33.29216049,37.32051,50.87642,139.4016,61.35093,10.14626
122,Wayne,IA,80,SOUTH CENTRAL,185,19988.2,7816,804.4,18984.4,47500,46000,130.4,1000,16,50700,51000,26.8,1/1/2003 0:00,35.89559363,40.23896,47.74537,106.4192,24.02368,5.58881
123,Wayne,IA,80,SOUTH CENTRAL,185,19251.4,5862,680.8,17692.8,48000,47000,156.8,900,14.4,48300,49000,49.4,1/1/2004 0:00,40.09329606,44.94458,45.56647,165.0332,85.16368,10.64153
124,Wayne,IA,80,SOUTH CENTRAL,185,18514.6,3908,557.2,16401.2,46000,45000,157,900,11.3,51700,52000,52,1/1/2005 0:00,40.61041117,45.52427,42.21405,173.7698,96.91456,10.88308
125,Wayne,IA,80,SOUTH CENTRAL,185,17777.8,1954,433.6,15109.6,48000,46900,145,900,14.1,50300,50500,40.3,1/1/2006 0:00,41.64019296,46.67866,39.12697,141.5774,61.20942,5.43765
126,Wayne,IA,80,SOUTH CENTRAL,185,17041,0,310,13818,52000,50400,150.2,1200,17,46900,47000,51.2,1/1/2007 0:00,33.06677409,37.06785,36.07107,163.842,84.6576,-6.04548
127,Wayne,IA,80,SOUTH CENTRAL,185,16438,1962,278.2,14817.6,45500,44500,103,,,58200,60000,30.5,1/1/2008 0:00,43.14293869,48.36324,34.3015,107.4468,37.76493,12.98287
128,Wayne,IA,80,SOUTH CENTRAL,185,15835,3924,246.4,15817.2,51000,50600,142.7,200,15,53500,54100,34,1/1/2009 0:00,37.10005199,41.58916,34.8866,126.5787,43.92172,-6.18122
